"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible entrance","additionalInfo/Accessibility/0/Wheelchair-accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Gender-neutral toilets","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Toilets","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free of charge street parking","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/On-site parking","additionalInfo/Parking/1/Free parking lot","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/On-site parking","additionalInfo/Parking/2/On-site parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/On-site services","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,,,,,"true",,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,"Gazi Mahallesi, Refik Cesur Caddesi No:2, Andaç Apt. K.1 D.1 Gaziemir/İzmir, 35410 Gaziemir/İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","13411622251392951380","Gaziemir","false","TR","0x14bbdfce367b252f:0xba1fa7613c006454",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TySjfQgF4XjCJDBpGQ0FTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=144.84338&pitch=0&thumbfov=100","1","false","/g/11cs5fjfpc","38.3250669","27.1349382","Gazi","Monday","8:30 AM to 6:30 PM","Tuesday","8:30 AM to 6:30 PM","Wednesday","8:30 AM to 6:30 PM","Thursday","8:30 AM to 6:30 PM","Friday","8:30 AM to 6:30 PM","Saturday","Closed","Sunday","Closed","false","+90 232 251 26 01","+902322512601","ChIJLyV7Ns7fuxQRVGQAPGGnH7o","35410",,"6","89",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","Gazi Mahallesi, Refik Cesur Caddesi No:2, Andaç Apt. K.1 D.1 Gaziemir/İzmir",,"false","Diş Hekimi Güray Pala | Gaziemir Diş Hekimi | Gaziemir Diş Doktoru","4.5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20G%C3%BCray%20Pala%20%7C%20Gaziemir%20Di%C5%9F%20Hekimi%20%7C%20Gaziemir%20Di%C5%9F%20Doktoru&query_place_id=ChIJLyV7Ns7fuxQRVGQAPGGnH7o","http://dishekimiguraypala.com/"
,,,,,,"true",,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,"Kasımpaşa, Atatürk Cd. no:101-103 B, 35470 Menderes/İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","3374655134353865929","Menderes","false","TR","0x14bbe122a207be01:0x2ed52ef70a9c3cc9",,"https://lh5.googleusercontent.com/p/AF1QipMJo8LYxj0sCi5_rfNm9gxeXSyU3PSBy-xB246p=w408-h306-k-no","5","false","/g/11l6sgf223","38.2578372","27.1305185","Kasımpaşa","Monday","9 AM to 8 PM","Tuesday","9 AM to 8 PM","Wednesday","9 AM to 8 PM","Thursday","9 AM to 8 PM","Friday","9 AM to 8 PM","Saturday","9 AM to 8 PM","Sunday","Closed","false","+90 850 474 6509","+908504746509","ChIJAb4HoiLhuxQRyTycCvcu1S4","35470",,"9","42",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","Atatürk Cd. no:101-103 B",,"false","DENTEGEMEN","5","https://www.google.com/maps/search/?api=1&query=DENTEGEMEN&query_place_id=ChIJAb4HoiLhuxQRyTycCvcu1S4","https://dentegemen.com/"
,,,,,"true",,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,"Gazi, Önder Cd. No:47/A, 35410 Gaziemir/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","10087361477550995251","Gaziemir","false","TR","0x14bbdfd247066571:0x8bfd81d19662f733",,"https://lh5.googleusercontent.com/p/AF1QipO6RuiXtNMVT5zgVJ34y_pc1k9yeiZI_XVU0xOC=w408-h272-k-no","43","false","/g/11fhgwj3mv","38.3233831","27.1307355","Gazi","Monday","10 AM to 7:30 PM","Tuesday","Open 24 hours","Wednesday","10 AM to 7:30 PM","Thursday","10 AM to 7:30 PM","Friday","10 AM to 7:30 PM","Saturday","10 AM to 5 PM","Sunday","Closed","false","+90 552 312 52 51","+905523125251","ChIJcWUGR9LfuxQRM_diltGB_Ys","35410",,"10","177",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","Önder Cd. No:47/A",,"false","Özel Optimum Ağız ve Diş Sağlığı Polikliniği","4.6","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Optimum%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJcWUGR9LfuxQRM_diltGB_Ys","http://optimumdis.com/"
,,,,"true",,,,,,,,"true",,,,"true",,,"true",,"true",,,,"true",,,,,,,,,,,,,"Kasımpaşa, Okul Sk. no: 22-24/A, 35470 Menderes/İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","5336559764143288698","Menderes","true","TR","0x14bbe198e8542d99:0x4a0f44d4c867317a",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kTPHxOHD_XqJfPXh6JZa4Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.88638&pitch=0&thumbfov=100","1","false","/g/1tjjrk_q","38.2519668","27.131311","Kasımpaşa","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 3 PM","Sunday","Closed","false","+90 232 782 40 49","+902327824049","ChIJmS1U6JjhuxQRejFnyNRED0o","35470",,"14","19",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","Okul Sk. no: 22-24/A",,"false","Diş Hekimi Mustafa BAHAR.","4.2","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Mustafa%20BAHAR.&query_place_id=ChIJmS1U6JjhuxQRejFnyNRED0o","http://www.mustafabahar.com/"
,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,"Kasımpaşa, mahallesinden Atatürk Caddesi No: 101-103 B, 35470 Menderes/İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","9422473359112474194","Menderes","false","TR","0x14bbe19f42556dcf:0x82c35999037b0e52",,"https://lh5.googleusercontent.com/yDJBg5bdrSc07j7Xj6XZLzEOX8Ve_H9IjYNtqnla04s6ffO4ISHL1jogw2oTUgHCpg=w408-h306-k-no","3","false","/g/11gtgdts03","38.2577882","27.1305292","Kasımpaşa","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 3 PM","Sunday","Closed","false","+90 232 782 11 90","+902327821190","ChIJz21VQp_huxQRUg57A5lZw4I","35470",,"15","12",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","mahallesinden Atatürk Caddesi No: 101-103 B",,"false","Diş Hekimi Egemen Eğrikülah","4.7","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Egemen%20E%C4%9Frik%C3%BClah&query_place_id=ChIJz21VQp_huxQRUg57A5lZw4I","http://www.dentegemen.com/"
,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,"Gaziemir Mah, Mehmet Emin Gürkan Cd. No:7/B, 35410 İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","7455313667163068613","Gaziemir","false","TR","0x14bbdf70d1ac88c1:0x67769847c45e98c5",,"https://lh5.googleusercontent.com/p/AF1QipMJ4NA2O3ln4CsZHLRBbbnRgFjOi7GisMAPZM7H=w408-h521-k-no","10","false","/g/11shy9h55_","38.3241043","27.1293182","Gazi","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 850 333 8344","+908503338344","ChIJwYis0XDfuxQRxZhexEeYdmc","35410",,"16","3",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","Gaziemir Mah, Mehmet Emin Gürkan Cd. No:7/B",,"false","Dt. Kutalmış Yurttürk, Diş Hekimi","5","https://www.google.com/maps/search/?api=1&query=Dt.%20Kutalm%C4%B1%C5%9F%20Yurtt%C3%BCrk%2C%20Di%C5%9F%20Hekimi&query_place_id=ChIJwYis0XDfuxQRxZhexEeYdmc","https://www.doktortakvimi.com/kutalmis-yurtturk/dis-hekimi/izmir?utm_source=google&utm_medium=gmb&utm_campaign=245701&utm_content=website"
,,,,"true",,,,,,,,"true",,,,"true",,,"true",,,,"true",,,,"true",,,,,,,,,,,"Gazi, Kubilay Cd. 13 A, 35410 Gaziemir/İzmir, Türkiye","Dentist","Cosmetic dentist","Dental clinic","Dental radiology","Emergency dental service",,,,,,"Dentist","8300212224703715263","Gaziemir","false","TR","0x14bbdf5c70731aa5:0x7330470abdd1d7bf",,"https://lh5.googleusercontent.com/p/AF1QipMrc7Wz6s5ohVZNU0F1Akzo7co8CTrNCKv5Jvyd=w408-h306-k-no","17","false","/g/11trdgvkmb","38.3223186","27.1278635","Gazi","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 4 PM","Sunday","Closed","false","+90 501 051 24 30","+905010512430","ChIJpRpzcFzfuxQRv9fRvQpHMHM","35410",,"18","21",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","Kubilay Cd. 13 A",,"false","Diş Hekimi Neriman Şendilmen","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Neriman%20%C5%9Eendilmen&query_place_id=ChIJpRpzcFzfuxQRv9fRvQpHMHM","http://www.dtnerimansendilmen.com/"
,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,"Atıfbey, 5. Sk., 35410 Gaziemir/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","16302030711302288236","Gaziemir","false","TR","0x14bbdfc1ccd38291:0xe23c728f60ae736c",,"https://lh5.googleusercontent.com/p/AF1QipNl0oAvVm1138eKCx4iZ6AZ8ZWDOBrMljNNeN6M=w408-h725-k-no","2","false","/g/11v51jgl1t","38.3219131","27.1293051","Atıfbey","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","Closed","Sunday","Closed","false","+90 554 171 94 99","+905541719499","ChIJkYLTzMHfuxQRbHOuYI9yPOI","35410",,"19","5",,,,,,"2024-12-13T09:45:19.552Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","5. Sk.",,"false","Gaziemir Dent | Gaziemir Diş Hekimi | İmplant","5","https://www.google.com/maps/search/?api=1&query=Gaziemir%20Dent%20%7C%20Gaziemir%20Di%C5%9F%20Hekimi%20%7C%20%C4%B0mplant&query_place_id=ChIJkYLTzMHfuxQRbHOuYI9yPOI","https://www.gaziemirdent.com/"
,,,,"true",,,,,,,,"true",,,,,"true",,,,,,"true",,,,,,,,,,,,,,,"Dokuz Eylül, Önder Cd. No:109, 35410 Gaziemir/İzmir, Türkiye","Dental clinic","Dental implants periodontist","Dental implants provider","Dental radiology","Dentist","Endodontist","Orthodontist","Pediatric dentist","Periodontist","Teeth whitening service","Dental clinic","18436181143982636525","Gaziemir","false","TR","0x14bbdfcf9d2ea1c3:0xffda791245d6fded",,"https://lh5.googleusercontent.com/p/AF1QipN-uWjDCSkXLWrwQSjqDYv4N9_cGgI_WC4Ojzxt=w408-h259-k-no","17","false","/g/11by_z8bfh","38.3258269","27.1375653","Dokuz Eylül","Monday","8 AM to 7 PM","Tuesday","8 AM to 7 PM","Wednesday","8 AM to 7 PM","Thursday","8 AM to 7 PM","Friday","8 AM to 7 PM","Saturday","8 AM to 7 PM","Sunday","Closed","false","+90 232 260 68 68","+902322606868","ChIJw6Eunc_fuxQR7f3WRRJ52v8","35410",,"20","381",,,,,,"2024-12-13T09:45:19.553Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,27.13016722231243,13z?hl=en","diş hekimleri","İzmir","Önder Cd. No:109","Avrupadent Ağız & Diş Sağlığı Merkezi Gaziemir","false","Özel Avrupadent Gaziemir Ağız ve Diş Sağlığı Polikliniği","4.7","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Avrupadent%20Gaziemir%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJw6Eunc_fuxQR7f3WRRJ52v8","http://www.avrupadent.com.tr/"
"true",,,,,,,,,"true",,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,"Siteler, Şht. Binbaşı Yavuz Başayar Cd No:7 D:1A, 35800, 35530 Aliağa/İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","17172927698521365801","Aliağa","false","TR","0x14b9634e3c120f9b:0xee527ec177d51d29",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ylPwJdTuYE6pRXxXriDudQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.30687&pitch=0&thumbfov=100","1","false","/g/11jygg1slt","38.7904503","26.9649597","Siteler",,,,,,,,,,,,,,,"false","+90 850 333 8344","+908503338344","ChIJmw8SPE5juRQRKR3Vd8F-Uu4","35530",,"9","1",,,,,,"2024-12-13T09:45:20.113Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.025397404868116,26.72663516693729,13z?hl=en","diş hekimleri","İzmir","Şht. Binbaşı Yavuz Başayar Cd No:7 D:1A, 35800",,"false","Uzm. Dt. Elif Dilay Ünal, Periodontoloji","5","https://www.google.com/maps/search/?api=1&query=Uzm.%20Dt.%20Elif%20Dilay%20%C3%9Cnal%2C%20Periodontoloji&query_place_id=ChIJmw8SPE5juRQRKR3Vd8F-Uu4","https://www.doktortakvimi.com/elif-dilay-unal/periodontoloji/izmir?utm_source=google&utm_medium=gmb&utm_campaign=243374&utm_content=website"
"true",,,,,,,,,"true",,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,"Siteler, Şht. Binbaşı Yavuz Başayar Cd No:7 D:1A, 35800 Aliağa/İzmir, Türkiye","Dental clinic","Dentist",,,,,,,,,"Dental clinic","3723085241503572607","Aliağa","false","TR","0x14ba312fa97b1d65:0x33ab0e4d2851e27f",,"https://lh5.googleusercontent.com/p/AF1QipMgZC_B4FUw8lA3KEJJTddt9-yQeR1GebISJaUX=w408-h544-k-no","46","false","/g/11scxxs4yt","38.7904503","26.9649597","Siteler","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 4 PM","Sunday","Closed","false","+90 232 502 88 80","+902325028880","ChIJZR17qS8xuhQRf-JRKE0OqzM","35800",,"15","80",,,,,,"2024-12-13T09:45:20.113Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.025397404868116,26.72663516693729,13z?hl=en","diş hekimleri","İzmir","Şht. Binbaşı Yavuz Başayar Cd No:7 D:1A",,"false","Özel Dentsite Ağız ve Diş Sağlığı Polikliniği","5","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Dentsite%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJZR17qS8xuhQRf-JRKE0OqzM","http://dentsite.com.tr/"
,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"7117 Sok. 30 Ağustos Mah. Simge Sit. No:14/I K:1 D:2 Egekent, D:2, 35663 Menemen/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","2333329472146216990","Menemen","false","TR","0x14bbd197463deda3:0x2061a6cadb39981e",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HEbysO-P84nHD-uMR-NYkA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.81665&pitch=0&thumbfov=100","2","false","/g/11j4kzp5v4","38.5567485","27.0482141","30 Ağustos","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","9 AM to 9 PM","false","+90 507 973 73 66","+905079737366","ChIJo-09RpfRuxQRHpg528qmYSA","35663",,"8","54",,,,,,"2024-12-13T09:45:22.898Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.995656537187383,13z?hl=en","diş hekimleri","İzmir","7117 Sok. 30 Ağustos Mah. Simge Sit. No:14/I K:1 D:2 Egekent, D:2",,"false","Diş Hekimi Ebru Yüksel Doğu Muayenehanesi | Menemende Diş Hekimi | Menemende Diş Kliniği | Menemende Diş Tedavisi","4","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Ebru%20Y%C3%BCksel%20Do%C4%9Fu%20Muayenehanesi%20%7C%20Menemende%20Di%C5%9F%20Hekimi%20%7C%20Menemende%20Di%C5%9F%20Klini%C4%9Fi%20%7C%20Menemende%20Di%C5%9F%20Tedavisi&query_place_id=ChIJo-09RpfRuxQRHpg528qmYSA","https://dtebruyukseldogu.com.tr/"
"true",,,,,,,,,"true",,,,,"true",,,,,,,,"true",,,,,"true",,,,,,,,,,,"Esatpaşa, Abdi İpekçi Cd. no:14A, 35660 Menemen/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","6795966609914699465","Menemen","false","TR","0x14bbd3c1d60d8e93:0x5e501fa009619ec9",,"https://lh5.googleusercontent.com/p/AF1QipPG5I7yNMubVnIDVNdPUQa3j_4sFaynxpiSNNeL=w427-h240-k-no","10","false","/g/11grc0xvg3","38.6056625","27.0757778","Esatpaşa","Monday","9 AM to 8 PM","Tuesday","9 AM to 8 PM","Wednesday","9 AM to 8 PM","Thursday","9 AM to 8 PM","Friday","9 AM to 8 PM","Saturday","10 AM to 3 PM","Sunday","Closed","false","+90 232 832 95 94","+902328329594","ChIJk44N1sHTuxQRyZ5hCaAfUF4","35660",,"16","41",,,,,,"2024-12-13T09:45:22.899Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.995656537187383,13z?hl=en","diş hekimleri","İzmir","Abdi İpekçi Cd. no:14A",,"false","ZC Estetik Ağız Ve Diş Sağlığı Polikliniği","4.5","https://www.google.com/maps/search/?api=1&query=ZC%20Estetik%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJk44N1sHTuxQRyZ5hCaAfUF4","https://sites.google.com/view/zcestetikdis-com"
"true",,,,,,,,,"true",,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Mermerli, Gülfem Ciner, Bülent Ecevit Blv. D:70B, 35660 Menemen/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","2328223347642250650","Menemen","false","TR","0x14bbd35f20025c13:0x204f82cc99fcb59a",,"https://lh5.googleusercontent.com/p/AF1QipMDRaa_QWUVenqxSfe-kgO-ZOGs8rVm2BTdp1E3=w408-h408-k-no","41","false","/g/11krglctbm","38.6122783","27.0661717","Mermerli","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+90 539 436 12 70","+905394361270","ChIJE1wCIF_TuxQRmrX8mcyCTyA","35660",,"19","256",,,,,,"2024-12-13T09:45:22.899Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.995656537187383,13z?hl=en","diş hekimleri","İzmir","Gülfem Ciner, Bülent Ecevit Blv. D:70B",,"false","Özel Dentsun Diş Polikliniği 7/24 Menemen","4.9","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Dentsun%20Di%C5%9F%20Poliklini%C4%9Fi%207%2F24%20Menemen&query_place_id=ChIJE1wCIF_TuxQRmrX8mcyCTyA","https://www.ozelizmirdispoliklinigi.com/"
,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Kasımpaşa, Bahriye Caddesi, Kasımpaşa Bostanı Sokak 2/5, Türkiye","Dentist",,,,,,,,,,"Dentist","17947100297297752820","Menemen","true","TR","0x14bbd4820e0d22fd:0xf910e8a1f0bd72f4",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q0gPdUgO0tZRX2eFwZrqIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=346.2862&pitch=0&thumbfov=100","1","false","/g/11t6h7z_nq","38.606971","27.0800404","Kasımpaşa",,,,,,,,,,,,,,,"false","+90 212 253 26 27","+902122532627","ChIJ_SINDoLUuxQR9HK98KHoEPk",,,"20","0",,,,,,"2024-12-13T09:45:22.899Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.995656537187383,13z?hl=en","diş hekimleri","İzmir","Bahriye Caddesi, Kasımpaşa Bostanı Sokak 2/5",,"false","Salih Yazıcı",,"https://www.google.com/maps/search/?api=1&query=Salih%20Yaz%C4%B1c%C4%B1&query_place_id=ChIJ_SINDoLUuxQR9HK98KHoEPk","http://salihyazici.com.tr/"
"true",,,,,,,,,"true",,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,"İsabey Mahallesi, Atatürk Cd. No:65, 35920 Selçuk/İzmir, Türkiye","Dental clinic","Private hospital",,,,,,,,,"Dental clinic","8195820092839765612","Selçuk","false","TR","0x14b94dc83f1c4e5d:0x71bd66f37cb9266c",,"https://lh5.googleusercontent.com/p/AF1QipOsthKAf35z99A2lEbFSu1pQ9o4PJNU3_jsfKk8=w408-h306-k-no","11","false","/g/11pyc3lwxz","37.9532662","27.3714008","İsabey Mahallesi","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 6 PM","Sunday","Closed","false","+90 506 052 54 91","+905060525491","ChIJXU4cP8hNuRQRbCa5fPNmvXE","35920",,"6","269",,,,,,"2024-12-13T09:45:26.938Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.96280101769777,27.264677907437477,13z?hl=en","diş hekimleri","İzmir","Atatürk Cd. No:65",,"false","Özel Egedent Grup Ağız & Diş Sağlığı Polikliniği","4.8","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Egedent%20Grup%20A%C4%9F%C4%B1z%20%26%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJXU4cP8hNuRQRbCa5fPNmvXE","https://egedentgrup.com/"
,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Kültür, Hükümet Cd. No:33/5, 35800 Aliağa/İzmir, Türkiye","Dental clinic","Orthodontist",,,,,,,,,"Dental clinic","16155734808166824269","Aliağa","false","TR","0x14ba303d6115cb2f:0xe034b3361632794d",,"https://lh5.googleusercontent.com/p/AF1QipP5L5VkikWDYivxP1l8dyLJf5c75309-nx2s2Lf=w408-h544-k-no","10","false","/g/11b77st9gr","38.8022095","26.9730506","Kültür","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 5 PM","Sunday","Closed","false","+90 232 616 12 82","+902326161282","ChIJL8sVYT0wuhQRTXkyFjazNOA","35800",,"32","63","60","0","2","1","0","2024-12-13T09:45:27.519Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.81287812743405,26.861145852062336,13z?hl=en","diş hekimleri","İzmir","Hükümet Cd. No:33/5",,"false","Aliağa Özel Ata Diş Polikliniği","4.8","https://www.google.com/maps/search/?api=1&query=Alia%C4%9Fa%20%C3%96zel%20Ata%20Di%C5%9F%20Poliklini%C4%9Fi&query_place_id=ChIJL8sVYT0wuhQRTXkyFjazNOA","http://www.atadis.com.tr/"
