"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/On-site parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageCategories/0","imageCategories/1","imageCategories/2","imageCategories/3","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"true",,,,,"true",,"true",,,"true",,,,,,,,"Carrefour parki, Osmangazi mah 400. Sok, Karşısı No:4A, 63350 Haliliye/Şanlıurfa, Türkiye","Dentist","Public medical center",,,,,,,,,"Dentist","1412106565873728876","Haliliye","false","TR","0x153470309b73b621:0x1398cf70a3e67d6c",,,,,,"https://lh5.googleusercontent.com/p/AF1QipPYEV7XBZhLPHw4Ycd7EHE8L7beYEkJwPEUZnKF=w408-h306-k-no","23","false","/g/1ydnwgwjz","37.1733115","38.8069841","Osman Gazi","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 414 314 44 22","+904143144422","ChIJIbZzmzBwNBURbH3mo3DPmBM","63350",,"17","40",,,,,,"2024-12-13T09:43:49.726Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.15962390000001,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Carrefour parki, Osmangazi mah 400. Sok, Karşısı No:4A","REHA DENT AĞIZ VE DİŞ SAĞLIĞI MERKEZİ","false","REH DENT ORAL AND DENTAL HEALTH CENTER","3.8","https://www.google.com/maps/search/?api=1&query=REH%20DENT%20ORAL%20AND%20DENTAL%20HEALTH%20CENTER&query_place_id=ChIJIbZzmzBwNBURbH3mo3DPmBM","http://www.rehadent.com.tr/"
,,,,,,,,,,"true",,,,,,,,"Hamidiye, Mert apt altı Tarık Çelik diş kliniği, Mehmet Akif Ersoy Cd., 63009 Haliliye/Şanlıurfa, Türkiye","Dentist",,,,,,,,,,"Dentist","2558460127703858739","Haliliye","false","TR","0x153471320be2ea01:0x238179ee4bc9fe33",,,,,,"https://lh5.googleusercontent.com/p/AF1QipOM-ZWuxaf4C-tSIJRxPNZ4ppWRsUWFo6qODflt=w426-h240-k-no","1","false","/g/11stpl1_gx","37.1710411","38.798249","Hamidiye","Monday","9 AM to 10 PM","Tuesday","9 AM to 10 PM","Wednesday","9 AM to 10 PM","Thursday","9 AM to 10 PM","Friday","9 AM to 10 PM","Saturday","10 AM to 10 PM","Sunday","Closed","false","+90 539 245 76 33","+905392457633","ChIJAeriCzJxNBURM_7JS-55gSM","63009",,"20","1",,,,,,"2024-12-13T09:43:49.726Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.15962390000001,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Mert apt altı Tarık Çelik diş kliniği, Mehmet Akif Ersoy Cd.",,"false","Diş Hekimi Tarık Çelik","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Tar%C4%B1k%20%C3%87elik&query_place_id=ChIJAeriCzJxNBURM_7JS-55gSM","http://dttarikcelik.com/"
"true",,,,,"true",,"true",,,"true",,,,,,,,"Yenişehir, Yenişehir Cd. no:4/A, 63300 Haliliye/Şanlıurfa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","17918573356171703405","Haliliye","false","TR","0x153471d1fdd92661:0xf8ab8f87e064b46d",,,,,,"https://lh5.googleusercontent.com/p/AF1QipPjLv3ZJvqK3ZPKnUPJnW0a7YEcVaGL9E2LSqZ4=w408-h543-k-no","13","false","/g/11qg45jw2b","37.1660326","38.8068696","Yenişehir","Monday","8 AM to 7 PM","Tuesday","8 AM to 7 PM","Wednesday","8 AM to 7 PM","Thursday","8 AM to 7 PM","Friday","8 AM to 7 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 533 591 54 94","+905335915494","ChIJYSbZ_dFxNBURbbRk4IePq_g","63300",,"23","1","1","0","0","0","0","2024-12-13T09:43:51.930Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.15962390000001,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Yenişehir Cd. no:4/A",,"false","Kırmızı Ağız ve Diş Sağlığı Merkezi","5","https://www.google.com/maps/search/?api=1&query=K%C4%B1rm%C4%B1z%C4%B1%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Merkezi&query_place_id=ChIJYSbZ_dFxNBURbbRk4IePq_g","https://www.buluruz.net/firma/5243-kirmizi-agiz-ve-dis-saglik-merkezi-kirmizi"
,,,,"true",,,,,,,"true",,,,,,,"Osmangazi Mah. 400 Sok. Koçoğlu 1, No:4/1, 63300 Haliliye/Şanlıurfa, Türkiye","Dentist",,,,,,,,,,"Dentist","11329382034238738640","Haliliye","false","TR","0x153471be302c2c75:0x9d3a0cef3b7e10d0",,,,,,"https://lh5.googleusercontent.com/p/AF1QipPaWTZeliiKcg8zuGFz7N6J6qSJFz7I3LYH5r2R=w408-h408-k-no","1","false","/g/11nmpp9pkc","37.17359","38.8075934","Osman Gazi",,,,,,,,,,,,,,,"false",,,"ChIJdSwsML5xNBUR0BB-O-8MOp0","63300",,"16","2",,,,,,"2024-12-13T09:43:53.451Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.18699951652956,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Osmangazi Mah. 400 Sok. Koçoğlu 1, No:4/1",,"false","Dt. Ali Barkiyer","5","https://www.google.com/maps/search/?api=1&query=Dt.%20Ali%20Barkiyer&query_place_id=ChIJdSwsML5xNBUR0BB-O-8MOp0","https://www.doktortakvimi.com/ali-barkiyer/dis-hekimi/sanliurfa?utm_source=google&utm_medium=gmb&utm_campaign=146426&utm_content=post_book_now"
"true",,,,,"true",,"true",,,"true",,,,,,,,"Atatürk mah., Hastaneler cad., 63100 Merkez/Haliliye/Şanlıurfa, Türkiye","Dental clinic","Dentist",,,,,,,,,"Dental clinic","6739713313006213539","Merkez/Haliliye","true","TR","0x153471a37c0ae153:0x5d88458cb5b4d9a3",,,,,,"https://lh5.googleusercontent.com/p/AF1QipPDl_5_-tbtXwjV4b_Mj6apaou-dd3ynd0RjwPk=w408-h408-k-no","4","false","/g/1vp5_87w","37.1583426","38.7868788","Atatürk mah.","Monday","8 AM to 5 PM","Tuesday","8 AM to 5 PM","Wednesday","8 AM to 5 PM","Thursday","8 AM to 5 PM","Friday","8 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+90 414 318 54 00","+904143185400","ChIJU-EKfKNxNBURo9m0tYxFiF0","63100",,"32","32","16","5","7","2","2","2024-12-13T09:43:56.050Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.15962390000001,38.791928999999996,16z?hl=en","diş hekimleri","Şanlıurfa","Hastaneler cad.",,"false","Eyyübiye Ağız Ve Diş Sağlığı Merkez Haliliye Ek Hizmet Binası","3.7","https://www.google.com/maps/search/?api=1&query=Eyy%C3%BCbiye%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Merkez%20Haliliye%20Ek%20Hizmet%20Binas%C4%B1&query_place_id=ChIJU-EKfKNxNBURo9m0tYxFiF0","https://eyyubiyeadsm.saglik.gov.tr/"
,,,,,,,,,,"true",,,,,,,,"Yenişehir, 1596 Cd No:30A, 63700 Haliliye/Şanlıurfa, Türkiye","Dentist",,,,,,,,,,"Dentist","16254283818053108541","Haliliye","false","TR","0x153471c825561231:0xe192d1037d6f833d",,,,,,,,"false","/g/11y1rdcn5y","37.1674042","38.7955132","Yenişehir",,,,,,,,,,,,,,,"false",,,"ChIJMRJWJchxNBURPYNvfQPRkuE","63700",,"17","0",,,,,,"2024-12-13T09:44:04.439Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.14593609173523,38.75759917495505,16z?hl=en","diş hekimleri","Şanlıurfa","1596 Cd No:30A",,"false","Dt. Lütfü Gültekin, Diş Hekimi",,"https://www.google.com/maps/search/?api=1&query=Dt.%20L%C3%BCtf%C3%BC%20G%C3%BCltekin%2C%20Di%C5%9F%20Hekimi&query_place_id=ChIJMRJWJchxNBURPYNvfQPRkuE","https://www.doktortakvimi.com/lutfu-gultekin/dis-hekimi/sanliurfa?utm_source=google&utm_medium=gmb&utm_campaign=276919&utm_content=website"
"true",,,,,"true",,"true",,,"true",,,,,,,,"Yeşiloğlu Bulvarı bülent özyavuz apt 22/A 35 Metrelik yol üzeri nar heykeli kavşağı öncesi ışıklarda, 63320 Karaköprü/Şanlıurfa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","17548259450266900482","Karaköprü","false","TR","0x1534700c61f10197:0xf387f0fecf8cd802",,,,,,"https://lh5.googleusercontent.com/p/AF1QipMbWgeX2-GyjryckwcGNsHnZbghxnKNW5vtuN5-=w408-h544-k-no","19","false","/g/11c59nmcr0","37.197382","38.8021784","Ali Baba","Monday","8:30 AM to 7:30 PM","Tuesday","8:30 AM to 7:30 PM","Wednesday","8:30 AM to 7:30 PM","Thursday","8:30 AM to 7:30 PM","Friday","8:30 AM to 7:30 PM","Saturday","8:30 AM to 7:30 PM","Sunday","Closed","false","+90 544 968 81 18","+905449688118","ChIJlwHxYQxwNBURAtiMz_7wh_M","63320",,"16","52",,,,,,"2024-12-13T09:44:06.042Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.20068732479434,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Yeşiloğlu Bulvarı bülent özyavuz apt 22/A 35 Metrelik yol üzeri nar heykeli kavşağı öncesi ışıklarda",,"false","Özel Ensar dent Ağız ve Diş Sağlığı Polikliniği","4","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Ensar%20dent%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJlwHxYQxwNBURAtiMz_7wh_M","https://www.instagram.com/p/BjDWk3uFIU6/"
,"true",,,,,,,,,"true",,,"true",,,,"true","Akbayır, Abdulkadir Badıllı bulvarı 96B, 63000 Karaköprü/Şanlıurfa, Türkiye","Dental clinic","Dental implants provider","Dental radiology","Dentist","Endodontist","Oral surgeon","Pedorthist","Periodontist","Plastic surgery clinic",,"Dental clinic","10510678501998271251","Karaköprü","false","TR","0x1534718b193a9781:0x91dd6e68dbf11b13",,,,,,"https://lh5.googleusercontent.com/p/AF1QipPx4eSi9m0GMq8JPEuKOT5g2O6n5q0nIdVpENQ=w408-h408-k-no","12","false","/g/11kqwlf3dw","37.1970189","38.8099622","Akbayır","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","Closed","Sunday","Closed","false","+90 552 602 33 34","+905526023334","ChIJgZc6GYtxNBURExvx22hu3ZE","63000",,"26","0",,,,,,"2024-12-13T09:44:07.856Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.20068732479434,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Abdulkadir Badıllı bulvarı 96B",,"false","Yavuz Dent Diş Kliniği",,"https://www.google.com/maps/search/?api=1&query=Yavuz%20Dent%20Di%C5%9F%20Klini%C4%9Fi&query_place_id=ChIJgZc6GYtxNBURExvx22hu3ZE","https://www.yavuzdent.com.tr/"
,,,,,,,,,,"true",,,,,,,,"Osmangazi Mah, Behçet Arabi Sok, Doruk Apartmanı No:1 Haliliye, 63300 Halililiye/Şanlıurfa, Türkiye","Dental clinic","Dentist",,,,,,,,,"Dental clinic","1914684801602953398","Halililiye","false","TR","0x15347030df666f5f:0x1a9253aec06220b6",,,,,,"https://lh5.googleusercontent.com/p/AF1QipNuqS6C5gm1xc6Br2dFxIMtWBSZ0tLXSafYDKGH=w408-h544-k-no","5","false","/g/11hzxk7439","37.1757607","38.806365","Osman Gazi","Monday","9 AM to 5 PM","Tuesday","9 AM to 5 PM","Wednesday","9 AM to 5 PM","Thursday","9 AM to 5 PM","Friday","9 AM to 5 PM","Saturday","9 AM to 4 PM","Sunday","Closed","false","+90 555 276 49 33","+905552764933","ChIJX29m3zBwNBURtiBiwK5Tkho","63300",,"37","3","2","0","1","0","0","2024-12-13T09:44:10.074Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.173311708264784,38.791928999999996,16z?hl=en","diş hekimleri","Şanlıurfa","Osmangazi Mah, Behçet Arabi Sok, Doruk Apartmanı No:1 Haliliye","Bozan Yücel","false","Diş hekimi Bozan YÜCEL","3.7","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20hekimi%20Bozan%20Y%C3%9CCEL&query_place_id=ChIJX29m3zBwNBURtiBiwK5Tkho","https://www.instagram.com/bozanyucell/"
,,,"true",,,,,,"true",,,"true","true","true","true","true","true","VakıfBank Üstü, Yeşildirek Mahallesi 414.Sokak Koç3, Emniyet Cd. Apt. No:4, 63100 Haliliye/Şanlıurfa, Türkiye","Dentist",,,,,,,,,,"Dentist","4054222659653534662","Haliliye","false","TR","0x153471c8bb6a723f:0x38437e075cfd03c6",,,,,,"https://lh5.googleusercontent.com/p/AF1QipMnAPrOsDPjPuhIBHH5uWGgsNpQTiIws1l0_ut9=w408-h544-k-no","11","false","/g/11w9lnz6y8","37.1731777","38.81333","Veysel Karani","Monday","9:30 AM to 11 PM","Tuesday","9:30 AM to 11 PM","Wednesday","9:30 AM to 11 PM","Thursday","9:30 AM to 11 PM","Friday","9:30 AM to 11 PM","Saturday","9 AM to 11 PM","Sunday","9:30 AM to 11 PM","false","+90 544 118 15 15","+905441181515","ChIJP3Jqu8hxNBURxgP9XAd-Qzg","63100",,"10","7",,,,,,"2024-12-13T09:44:14.731Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.173311708264784,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","VakıfBank Üstü, Yeşildirek Mahallesi 414.Sokak Koç3, Emniyet Cd. Apt. No:4",,"false","Özel Diş Kliniği","5","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Di%C5%9F%20Klini%C4%9Fi&query_place_id=ChIJP3Jqu8hxNBURxgP9XAd-Qzg","https://business.google.com/v/_/AKsrIN2QSn6dIG-8kFFZbgMlD7lL5fumMywWish889kXlnl4p0qjdQ/954d/_?exp=1778401&myads=1"
"true",,,,,,"true",,,,"true",,,,,,,,"Ertugrul Gazi Mah. Yunus emre cad. Elegans Apt. Altı no :1, 63100 Haliliye/Şanlıurfa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","1822348610690111369","Haliliye","false","TR","0x153471a571a6013d:0x194a4867fd1c5789",,,,,,"https://lh5.googleusercontent.com/p/AF1QipPUe0EhYCF0PgmPvstyXtZ7o_lJ9zG-CLtYN2qZ=w721-h240-k-no","7","false","/g/11gxxzj9np","37.1791227","38.8126018","Ertuğrul Gazi","Monday","9 AM to 11 PM","Tuesday","9 AM to 11 PM","Wednesday","9 AM to 11 PM","Thursday","9 AM to 11 PM","Friday","9 AM to 11 PM","Saturday","9 AM to 6 PM","Sunday","Closed","false","+90 414 316 84 00","+904143168400","ChIJPQGmcaVxNBURiVcc_WdIShk","63100",,"48","6","4","0","1","1","0","2024-12-13T09:44:26.567Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.173311708264784,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Ertugrul Gazi Mah. Yunus emre cad. Elegans Apt. Altı no :1",,"false","EMİRDENT","4","https://www.google.com/maps/search/?api=1&query=EM%C4%B0RDENT&query_place_id=ChIJPQGmcaVxNBURiVcc_WdIShk","http://www.emirdent.com.tr/"
"true",,,,,"true",,"true","true","true",,,"true",,,,,,"Osmangazi mahallesi, Behçet Arabi Cd. no:18/A, 63040 Haliliye/Şanlıurfa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","13395192975613147849","Haliliye","false","TR","0x153313a14fd08875:0xb9e5490a613abac9",,,,,,"https://lh5.googleusercontent.com/p/AF1QipMhPoMKSd1dDmyQtAYwFF84-_bHkS75tvKza995=w408-h544-k-no","9","false","/g/11tp063ymb","37.1737456","38.8068503","Osmangazi mahallesi","Monday","8:30 AM to 10 PM","Tuesday","8:30 AM to 10 PM","Wednesday","8:30 AM to 10 PM","Thursday","8:30 AM to 10 PM","Friday","8:30 AM to 10 PM","Saturday","8:30 AM to 10 PM","Sunday","Closed","false","+90 533 484 63 02","+905334846302","ChIJdYjQT6ETMxURybo6YQpJ5bk","63040",,"51","14","14","0","0","0","0","2024-12-13T09:44:26.567Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.173311708264784,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","Behçet Arabi Cd. no:18/A",,"false","ŞEHİR DENTAL CLİNİC","5","https://www.google.com/maps/search/?api=1&query=%C5%9EEH%C4%B0R%20DENTAL%20CL%C4%B0N%C4%B0C&query_place_id=ChIJdYjQT6ETMxURybo6YQpJ5bk","http://www.sehirdentalclinic.com/"
